#generated-date=2023-07-24
11p partial monosomy syndrome	http://purl.obolibrary.org/obo/MONDO_0008681	WAGR syndrome
11q partial monosomy syndrome	http://purl.obolibrary.org/obo/MONDO_0007838	Jacobsen syndrome
1-2 finger syndactyly	http://purl.obolibrary.org/obo/HP_0006101	Finger syndactyly
14q11.2 microduplication syndrome	http://purl.obolibrary.org/obo/MONDO_0016835	14q11.2 microduplication syndrome
15q11q13 microduplication syndrome	http://purl.obolibrary.org/obo/MONDO_0012081	15q11q13 microduplication syndrome
16p11.2p12.2 microduplication syndrome	http://purl.obolibrary.org/obo/MONDO_0016834	16p11.2p12.2 microduplication syndrome
16p13.11 microdeletion syndrome	http://purl.obolibrary.org/obo/MONDO_0016836	16p13.11 microdeletion syndrome
16p13.11 microduplication syndrome	http://purl.obolibrary.org/obo/MONDO_0016837	16p13.11 microduplication syndrome
16q24.3 microdeletion syndrome	http://purl.obolibrary.org/obo/MONDO_0016838	16q24.3 microdeletion syndrome
20p12.3 microdeletion syndrome	http://purl.obolibrary.org/obo/MONDO_0016841	20p12.3 microdeletion syndrome
21q22.11q22.12 microdeletion syndrome	http://purl.obolibrary.org/obo/MONDO_0016845	21q22.11q22.12 microdeletion syndrome
2-3 finger syndactyly	http://purl.obolibrary.org/obo/HP_0006101	Finger syndactyly
2-3 toe cutaneous syndactyly	http://purl.obolibrary.org/obo/HP_0005709	2-3 toe cutaneous syndactyly
2-3 toe syndactyly	http://purl.obolibrary.org/obo/HP_0004691	2-3 toe syndactyly
2-aminoadipic 2-oxoadipic aciduria	http://purl.obolibrary.org/obo/MONDO_0008774	2-aminoadipic 2-oxoadipic aciduria
2-hydroxyglutaric aciduria	http://purl.obolibrary.org/obo/MONDO_0016001	2-hydroxyglutaric aciduria
3-4 finger syndactyly	http://purl.obolibrary.org/obo/HP_0006101	Finger syndactyly
3-4 toe syndactyly	http://purl.obolibrary.org/obo/HP_0009779	3-4 toe syndactyly
3-5 finger syndactyly	http://purl.obolibrary.org/obo/HP_0006101	Finger syndactyly
3 beta-hydroxysteroid dehydrogenase deficiency	http://purl.obolibrary.org/obo/MONDO_0008727	congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency
3-hydroxy-3-methylglutaryl-coa synthase deficiency	http://purl.obolibrary.org/obo/MONDO_0011614	3-hydroxy-3-methylglutaryl-CoA synthase deficiency
3mc syndrome 1	http://purl.obolibrary.org/obo/MONDO_0017398	3MC syndrome
